,label,qualidade,Area,id_gh2ax,id_ku80,id_fak,id_dapi,tto,prot,image,nucleo
18,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_2.tiff,,2.526,5447.992,1081.413,1127.845,148242.004,ct,ku80,13,0
19,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_3.tiff,,2.81,5809.97,2210.139,1019.277,187712.118,ct,ku80,13,0
20,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_4.tiff,,3.081,3659.19,1322.859,1046.293,177067.813,ct,ku80,13,0
21,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_5.tiff,,4.029,9669.436,2641.365,1338.618,432718.107,ct,ku80,13,0
22,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_6.tiff,,2.495,9015.064,1238.182,1067.424,161942.128,ct,ku80,13,0
23,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_7.tiff,,2.969,6892.285,1322.955,923.523,208653.272,ct,ku80,13,0
24,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_8.tiff,,3.93,12580.28,2467.882,1911.757,303257.84,ct,ku80,13,0
25,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_0-roi_9.tiff,,2.394,5472.028,2127.938,719.754,271489.979,ct,ku80,13,0
26,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_0.tiff,,2.638,6726.27,2034.537,998.794,209552.33,ct,ku80,13,1
27,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_1.tiff,,4.002,9327.004,1616.273,1233.023,250446.963,ct,ku80,13,1
28,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_10.tiff,,2.863,5253.753,1105.247,2751.575,217795.347,ct,ku80,13,1
29,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_11.tiff,,2.292,4883.155,1620.081,710.779,209497.202,ct,ku80,13,1
30,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_12.tiff,,4.058,10416.239,1773.143,1863.689,259139.987,ct,ku80,13,1
31,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_13.tiff,,4.312,11506.83,2223.603,1592.62,388764.972,ct,ku80,13,1
32,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_14.tiff,,2.807,5575.525,1224.208,1132.759,297084.685,ct,ku80,13,1
33,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_15.tiff,,2.345,4685.035,1023.387,1259.154,159310.056,ct,ku80,13,1
34,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_16.tiff,,2.651,6331.677,1602.591,1503.255,278970.673,ct,ku80,13,1
35,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_17.tiff,,5.788,21811.831,3162.538,2806.258,531957.74,ct,ku80,13,1
36,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_2.tiff,,4.126,12159.449,4034.628,1471.097,345558.435,ct,ku80,13,1
37,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_3.tiff,,3.225,7588.272,2439.403,1204.397,118928.784,ct,ku80,13,1
38,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_4.tiff,,2.2,4693.446,1921.167,825.14,134677.261,ct,ku80,13,1
39,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_5.tiff,,3.68,6424.972,3391.757,932.892,318587.14,ct,ku80,13,1
40,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_6.tiff,,2.973,7537.996,4348.352,990.221,249966.528,ct,ku80,13,1
41,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_7.tiff,,4.048,12751.464,5153.049,1293.312,291549.09,ct,ku80,13,1
42,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_8.tiff,,3.2,6342.684,2489.186,1122.834,276886.97,ct,ku80,13,1
43,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_1-roi_9.tiff,,4.304,12443.966,1446.249,1962.306,464767.581,ct,ku80,13,1
44,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_0.tiff,,5.905,28520.641,3465.831,5049.951,334875.781,ct,ku80,13,2
45,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_1.tiff,,3.867,9137.548,1796.427,1935.527,253483.972,ct,ku80,13,2
46,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_2.tiff,,2.757,5459.749,1806.48,1058.808,296857.29,ct,ku80,13,2
47,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_2-roi_3.tiff,,2.445,5826.971,868.148,1449.866,161543.91,ct,ku80,13,2
48,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_3-roi_0.tiff,,2.394,4467.943,1867.622,975.718,273090.793,ct,ku80,13,3
49,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_3-roi_1.tiff,,2.863,6879.25,2443.984,1585.091,237978.804,ct,ku80,13,3
50,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_3-roi_2.tiff,,3.318,10265.833,2071.247,1638.884,367673.969,ct,ku80,13,3
51,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_3-roi_3.tiff,,2.339,4637.336,1683.986,1176.993,205027.074,ct,ku80,13,3
52,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_3-roi_4.tiff,,2.492,4829.802,1017.181,1850.094,129429.155,ct,ku80,13,3
53,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_3-roi_5.tiff,,2.802,7164.882,2334.093,1164.174,293103.595,ct,ku80,13,3
54,(11)ct-h2ax-647-ku80-564-fak-488-dapi-13_Out_Channel Alignment-1.czinucleo_3-roi_6.tiff,,4.326,10600.545,1954.467,2034.503,325086.777,ct,ku80,13,3
55,(12)ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_1-roi_0.tiff,,2.526,11991.51,4174.617,13454.94,207091.003,ct,ku80,03,1
56,(12)ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_2-roi_0.tiff,,4.075,22461.575,2743.486,32101.851,292251.682,ct,ku80,03,2
57,(12)ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_2-roi_1.tiff,,8.233,51782.321,6690.622,72200.675,774846.703,ct,ku80,03,2
58,(12)ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_2-roi_2.tiff,,2.445,10834.19,2131.678,15086.922,195631.218,ct,ku80,03,2
59,(12)ct-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_2-roi_3.tiff,,2.394,8272.283,947.218,18207.762,228747.708,ct,ku80,03,2
60,(12)ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,2.844,28009.937,2693.784,9654.572,232124.433,ct,ku80,10,0
61,(12)ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_1.tiff,,2.704,35550.869,3330.173,10969.403,230081.213,ct,ku80,10,0
62,(12)ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_2.tiff,,2.81,41111.7,2931.666,12793.309,232505.075,ct,ku80,10,0
63,(12)ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_3.tiff,,2.744,43057.34,3227.677,9325.275,238545.828,ct,ku80,10,0
64,(12)ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czinucleo_0-roi_4.tiff,,2.651,27605.183,1971.878,11981.017,234005.582,ct,ku80,10,0
65,(12)ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czinucleo_1-roi_0.tiff,,2.975,35666.016,4144.392,16057.544,149265.601,ct,ku80,10,1
66,(12)ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_0.tiff,,3.015,37462.064,4751.481,9076.966,245564.247,ct,ku80,10,2
67,(12)ct-h2ax-647-ku80-564-fak-488-dapi-10_Out_Channel Alignment-1.czinucleo_2-roi_1.tiff,,5.797,111523.945,5647.095,18228.249,516033.407,ct,ku80,10,2
68,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,3.075,21925.661,1801.276,4620.886,188881.155,ct,ku80,15,0
69,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_0-roi_1.tiff,,3.081,22903.682,2280.277,5330.811,237733.888,ct,ku80,15,0
70,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_0-roi_2.tiff,,2.547,14493.667,5088.658,4287.675,170359.37,ct,ku80,15,0
71,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_0-roi_3.tiff,,2.573,15492.265,1404.77,5527.884,177126.293,ct,ku80,15,0
72,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_0-roi_4.tiff,,2.794,18502.315,2664.304,4028.434,185350.153,ct,ku80,15,0
73,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_0-roi_5.tiff,,2.545,19100.905,1928.49,4804.659,156122.793,ct,ku80,15,0
74,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_0-roi_6.tiff,,4.46,35591.134,3591.247,9514.912,325101.856,ct,ku80,15,0
75,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_0.tiff,,2.295,10977.744,2999.287,3530.793,141955.067,ct,ku80,15,1
76,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_1.tiff,,2.811,18841.784,2504.12,5580.416,161440.286,ct,ku80,15,1
77,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_10.tiff,,2.62,14740.787,2983.08,5222.913,168730.922,ct,ku80,15,1
78,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_2.tiff,,2.649,18984.466,1129.921,5717.737,174082.852,ct,ku80,15,1
79,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_3.tiff,,2.386,11673.222,1747.758,4878.278,176489.3,ct,ku80,15,1
80,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_4.tiff,,2.844,15457.608,1939.304,5340.41,163623.292,ct,ku80,15,1
81,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_5.tiff,,2.859,25225.641,1488.633,5364.782,154722.962,ct,ku80,15,1
82,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_6.tiff,,2.394,12061.849,1275.308,4018.717,211394.224,ct,ku80,15,1
83,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_7.tiff,,2.443,9843.552,1594.871,4843.99,193384.411,ct,ku80,15,1
84,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_8.tiff,,2.547,17056.747,2436.701,6662.603,220587.721,ct,ku80,15,1
85,(12)ct-h2ax-647-ku80-564-fak-488-dapi-15_Out_Channel Alignment-1.czinucleo_1-roi_9.tiff,,2.757,17626.976,2792.285,4753.954,178212.127,ct,ku80,15,1
86,(12)ct-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment-1.czinucleo_1-roi_0.tiff,,2.92,40242.096,2271.075,20226.128,251061.171,ct,ku80,17,1
87,(12)ct-h2ax-647-ku80-564-fak-488-dapi-17_Out_Channel Alignment-1.czinucleo_1-roi_1.tiff,,3.027,13631.367,3161.569,26934.997,201682.92,ct,ku80,17,1
88,(13)ct-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,6.736,77845.154,4117.793,67552.467,252791.217,ct,ku80,05,0
89,(13)ct-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czinucleo_0-roi_1.tiff,,3.995,37609.973,2552.846,45834.563,328519.674,ct,ku80,05,0
90,(13)ct-h2ax-647-ku80-564-fak-488-dapi-05_Out_Channel Alignment-1.czinucleo_0-roi_2.tiff,,2.547,14155.86,3536.266,30315.375,243593.341,ct,ku80,05,0
91,(13)ct-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,3.256,18384.552,3400.905,9230.328,166761.727,ct,ku80,07,0
92,(13)ct-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_1.tiff,,2.59,12739.227,2299.376,7785.064,174230.918,ct,ku80,07,0
93,(13)ct-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_2.tiff,,2.391,10162.017,3461.464,5870.483,208957.912,ct,ku80,07,0
94,(13)ct-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_3.tiff,,3.085,13165.919,5080.805,6753.367,299861.197,ct,ku80,07,0
95,(13)ct-h2ax-647-ku80-564-fak-488-dapi-07_Out_Channel Alignment-1.czinucleo_0-roi_4.tiff,,2.443,12382.45,1848.074,7758.294,196151.444,ct,ku80,07,0
96,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_0.tiff,,4.878,115658.763,21635.083,19743.39,97328.21,ct,ku80,03,0
97,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_1.tiff,,3.022,92331.006,19384.265,13965.57,85342.597,ct,ku80,03,0
98,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_10.tiff,,2.863,72382.967,23503.174,13760.605,101286.661,ct,ku80,03,0
99,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_11.tiff,,2.496,62947.223,24390.716,14993.329,106121.421,ct,ku80,03,0
100,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_12.tiff,,3.842,93096.491,22954.759,18716.235,99120.132,ct,ku80,03,0
101,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_13.tiff,,2.975,57654.773,23537.087,13577.978,106369.352,ct,ku80,03,0
102,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_14.tiff,,4.189,126995.575,26337.788,16640.818,116192.133,ct,ku80,03,0
103,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_15.tiff,,3.318,79901.331,27169.791,15224.725,125047.045,ct,ku80,03,0
104,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_16.tiff,,3.135,65314.332,28597.42,12365.177,150955.099,ct,ku80,03,0
105,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_17.tiff,,3.03,82763.445,24203.395,15121.153,118531.909,ct,ku80,03,0
106,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_18.tiff,,6.149,142893.122,48069.474,25427.994,239183.542,ct,ku80,03,0
107,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_19.tiff,,2.295,49236.456,17116.267,10406.843,78260.317,ct,ku80,03,0
108,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_2.tiff,,2.865,76369.632,17972.75,11367.18,69998.501,ct,ku80,03,0
109,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_20.tiff,,2.859,69713.867,16191.612,10502.165,78401.171,ct,ku80,03,0
110,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_21.tiff,,2.98,69758.157,23817.934,13314.046,114385.278,ct,ku80,03,0
111,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_22.tiff,,2.445,55260.557,17512.957,11852.348,71655.027,ct,ku80,03,0
112,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_23.tiff,,2.751,67807.962,16717.968,13896.1,75989.047,ct,ku80,03,0
113,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_24.tiff,,3.678,109458.097,27861.887,17918.553,126241.297,ct,ku80,03,0
114,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_25.tiff,,2.865,71958.562,18463.531,12558.704,86559.892,ct,ku80,03,0
115,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_26.tiff,,3.378,88467.941,34750.727,14278.007,142601.385,ct,ku80,03,0
116,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_27.tiff,,5.603,180780.759,47047.738,30978.006,244269.371,ct,ku80,03,0
117,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_28.tiff,,2.911,80811.355,25974.076,15125.954,128114.065,ct,ku80,03,0
118,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_29.tiff,,3.726,120828.906,37658.449,18917.883,180156.021,ct,ku80,03,0
119,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_3.tiff,,4.122,102230.662,28239.183,15657.528,121534.225,ct,ku80,03,0
120,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_30.tiff,,6.185,176070.443,47621.21,28465.314,245461.044,ct,ku80,03,0
121,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_31.tiff,,5.489,133169.112,42511.76,20193.413,212597.007,ct,ku80,03,0
122,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_32.tiff,,3.316,99270.826,28671.579,18057.106,157707.758,ct,ku80,03,0
123,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_33.tiff,,2.802,63467.415,21780.894,11053.616,96158.951,ct,ku80,03,0
124,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_34.tiff,,3.075,90919.588,28866.342,15639.159,121928.523,ct,ku80,03,0
125,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_35.tiff,,6.325,226503.244,71066.336,37452.679,361392.617,ct,ku80,03,0
126,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_36.tiff,,4.1,154392.641,41782.981,20518.595,233000.618,ct,ku80,03,0
127,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_37.tiff,,2.81,87251.677,21897.759,13002.608,107788.087,ct,ku80,03,0
128,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_38.tiff,,4.117,140757.56,40023.905,21021.317,222720.385,ct,ku80,03,0
129,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_39.tiff,,3.223,82908.836,28202.058,16108.042,153496.694,ct,ku80,03,0
130,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_4.tiff,,2.424,69826.626,15667.544,9883.864,77851.164,ct,ku80,03,0
131,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_40.tiff,,2.969,80988.451,28729.086,14933.631,123089.385,ct,ku80,03,0
132,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_41.tiff,,2.919,73205.251,22071.371,13973.94,114893.003,ct,ku80,03,0
133,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_42.tiff,,3.649,99448.786,32830.761,18391.327,154669.897,ct,ku80,03,0
134,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_43.tiff,,2.394,51943.441,18001.548,8868.728,94545.694,ct,ku80,03,0
135,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_44.tiff,,2.651,76302.217,26135.817,11813.64,105979.113,ct,ku80,03,0
136,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_45.tiff,,2.296,44520.692,15837.13,9163.444,76846.37,ct,ku80,03,0
137,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_46.tiff,,3.871,116056.202,36349.375,20136.743,174445.957,ct,ku80,03,0
138,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_47.tiff,,2.92,86527.75,24597.526,13895.882,112928.317,ct,ku80,03,0
139,(13)doxo12h-h2ax-647-ku80-564-fak-488-dapi-03_Out_Channel Alignment-1.czinucleo_0-roi_48.tiff,,3.128,101155.908,21807.195,16503.774,102843.135,ct,ku80,03,0
