 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
85	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif T1	combine	Otsu	Otsu	TRUE	0.177	1	0.991	2431	16106	0.34	0.335	9.749	1	1.52E-43	77.492	18.38	18.515	6.007	1
86	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.163	0.527	0.978	1637	2432	0.331	0.271	25.646	1	2.56E-288	452.47	77.885	95.282	24.944	1
87	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.09	0.507	0.956	315	4968	0.116	0.192	13.923	1	1.30E-86	283.754	31.205	20.351	3.577	1
88	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif T1	combine	Otsu	Otsu	TRUE	0.121	1	0.961	342	11178	0.33	0.206	4.013	1	6.94E-09	20.179	3.132	5.273	1.041	1
89	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.042	0.456	0.949	315	1497	0.146	0.129	5.553	1	2.03E-15	263.575	27.642	32.13	4.036	1
90	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.17	0.705	0.979	364	4385	0.193	0.29	31.982	1	0	422.116	65.792	45.67	12.444	1
91	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif T1	combine	Otsu	Otsu	TRUE	0.101	1	0.986	427	10098	0.265	0.269	4.849	1	3.51E-12	45.339	9.362	9.613	2.488	1
92	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.139	0.653	0.971	351	1426	0.298	0.231	23.114	1	1.14E-234	376.777	57.117	72.579	16.327	1
93	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.149	0.676	0.971	355	3707	0.239	0.279	23.296	1	2.43E-238	271.901	48.338	41.932	11.128	1
94	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif T1	combine	Otsu	Otsu	TRUE	0.103	1	0.977	417	8063	0.292	0.249	4.464	1	1.37E-10	41.634	8.514	9.812	2.376	1
95	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-04_Out_Channel Alignment.czi_nucleo_2(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.103	0.597	0.963	343	1263	0.322	0.227	14.644	1	1.43E-95	230.267	39.718	56.597	12.612	1
96	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.099	0.526	0.982	521	4695	0.083	0.339	15.175	1	1.79E-102	198.077	38.059	9.603	3.006	1
97	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif T1	combine	Otsu	Otsu	TRUE	0.125	1	0.983	615	12407	0.249	0.35	0.887	0.895	0.105	9.298	2.203	1.503	0.521	1
98	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.056	0.495	0.981	505	1423	0.124	0.253	5.126	1	2.10E-13	188.779	37.466	18.61	4.63	1
99	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.181	0.591	0.991	942	6307	0.035	0.468	23.923	1	3.30E-251	242.481	43.909	3.574	1.475	1
100	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif T1	combine	Otsu	Otsu	TRUE	0.27	1	0.998	1212	16010	0.365	0.499	4.199	1	1.44E-09	3.501	0.96	0.7	0.333	1
101	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_2(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.218	0.581	0.987	942	1502	0.199	0.373	33.819	1	0	238.98	42.484	20.989	7.671	1
102	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.022	0.474	0.96	965	2292	0.057	0.143	3.414	1	6.91E-07	219.287	27.434	12.006	1.636	1
103	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif T1	combine	Otsu	Otsu	TRUE	0.067	1	0.96	895	5874	0.218	0.188	0.685	0.834	0.166	11.718	1.816	2.028	0.379	1
104	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.01	0.442	0.959	965	692	0.099	0.13	3.381	1	8.71E-07	207.569	25.838	20.144	2.667	1
105	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus	Otsu	Otsu	TRUE	0.089	0.525	0.972	916	2115	0.064	0.257	13.301	1	3.13E-79	260.407	39.609	8.496	2.287	1
106	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif T1	combine	Otsu	Otsu	TRUE	-0.046	1	0.972	1255	6272	0.108	0.115	-1.877	0.004	0.996	8.089	1.317	1.057	0.131	1
107	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_1(9).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.095	0.503	0.971	916	629	0.153	0.229	12.822	1	8.72E-74	252.319	37.433	24.133	5.359	1
108	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus	Otsu	Otsu	TRUE	0.118	0.596	0.977	2317	2056	0.053	0.276	17.046	1	1.07E-128	253.185	32.017	5.749	1.633	1
109	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	combine	Otsu	Otsu	TRUE	-0.028	1	0.988	2873	6085	0.097	0.168	-1.594	0.012	0.988	5.337	1.116	0.799	0.125	1
110	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.144	0.582	0.972	2317	592	0.163	0.242	23.122	1	7.92E-235	247.848	30.53	20.591	4.772	1
111	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(6).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(6).tif T1	nucleus	Otsu	Otsu	TRUE	0.055	0.534	0.932	596	5988	0.155	0.145	9.318	1	5.90E-40	332.162	37.753	40.763	5.877	1
112	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(6).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(6).tif T1	combine	Otsu	Otsu	TRUE	5.30E-04	1	0.937	633	13473	0.237	0.131	0.229	0.627	0.373	40.35	5.284	9.524	1.263	1
113	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(6).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-09_Out_Channel Alignment.czi_nucleo_0(6).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.039	0.456	0.923	596	1941	0.222	0.131	5.647	1	6.97E-16	291.812	31.929	55.693	7.247	1
114	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.035	0.441	0.95	279	1520	0.051	0.18	5.156	1	1.53E-13	220.704	26.964	8.629	1.484	1
115	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	0.078	1	0.95	248	4559	0.143	0.265	1.7	0.992	0.008	8.469	1.819	1.005	0.244	1
116	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.02	0.415	0.949	290	435	0.089	0.128	3.51	1	3.45E-07	212.235	23.55	16.888	2.104	1
117	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus	Otsu	Otsu	TRUE	0.028	0.476	0.936	272	12476	1.72E-04	0.058	4.323	1	4.89E-10	220.548	29.673	0.086	0.006	1
118	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(11).tif T1	combine	Otsu	Otsu	TRUE	-0.248	1	0.876	168	29560	0.1	0.082	NaN	NaN	NaN	0.086	0.016	0.023	0.002	1
119	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-11_Out_Channel Alignment.czi_nucleo_1(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.049	0.476	0.939	272	1167	0.06	0.213	8.664	1	8.14E-35	220.462	29.667	8.177	1.678	1
120	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus	Otsu	Otsu	TRUE	0.014	0.585	0.958	2191	983	0.021	0.149	2.27	0.999	6.63E-04	307.388	43.595	6.029	0.895	1
121	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(14).tif T1	combine	Otsu	Otsu	TRUE	-0.029	1	0.949	2389	2663	0.151	0.128	0.426	0.727	0.273	5.519	0.695	0.934	0.111	1
122	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-12_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.027	0.578	0.962	2191	251	0.107	0.164	5.081	1	3.36E-13	301.869	42.789	28.471	4.614	1
123	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.06	0.427	0.969	741	3706	0.043	0.185	7.633	1	1.83E-27	207.857	19.576	5.044	0.847	1
124	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif T1	combine	Otsu	Otsu	TRUE	0.092	1	0.973	779	13590	0.066	0.198	1.242	0.961	0.039	4.865	0.739	0.345	0.06	1
125	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.054	0.409	0.966	741	1062	0.1	0.142	8.66	1	8.65E-35	202.992	18.77	13.369	1.848	1
126	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus	Otsu	Otsu	TRUE	0.1	0.504	0.965	802	3657	0.071	0.223	15.241	1	2.42E-103	250.919	26.945	8.445	1.776	1
127	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(13).tif T1	combine	Otsu	Otsu	TRUE	0.121	1	0.972	1083	8940	0.286	0.153	-0.216	0.38	0.62	8.199	1.013	1.74	0.269	1
128	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.064	0.479	0.957	762	1041	0.118	0.168	9.829	1	3.15E-44	242.721	28.014	19.173	3.153	1
129	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_2(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_2(16).tif T1	nucleus	Otsu	Otsu	TRUE	0.05	0.555	0.944	987	5329	0.019	0.169	7.561	1	5.54E-27	241.14	23.279	2.594	0.467	1
130	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_2(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_2(16).tif T1	combine	Otsu	Otsu	TRUE	-0.093	1	0.94	902	13092	0.184	0.157	-1.024	0.074	0.926	2.501	0.528	0.612	0.102	1
131	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_2(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-14_Out_Channel Alignment.czi_nucleo_2(16).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.075	0.549	0.946	987	1349	0.074	0.169	11.943	1	2.64E-64	238.639	22.833	9.533	1.58	1
132	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	nucleus	Otsu	Otsu	TRUE	0.085	0.504	0.95	1250	3838	0.078	0.241	11.241	1	3.33E-57	215.825	24.998	8.275	1.891	1
133	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	combine	Otsu	Otsu	TRUE	0.066	1	0.957	1437	10436	0.192	0.226	1.199	0.955	0.045	7.891	1.472	1.281	0.281	1
134	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_0(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.056	0.477	0.943	1250	1137	0.125	0.159	7.705	1	6.00E-28	207.934	23.158	18.335	2.851	1
135	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif T1	nucleus	Otsu	Otsu	TRUE	0.067	0.55	0.957	1565	1948	0.043	0.182	9.614	1	2.10E-42	205.983	22.536	5.961	0.996	1
136	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif T1	combine	Otsu	Otsu	TRUE	0.091	1	0.968	1482	6458	0.141	0.271	0.122	0.568	0.432	5.456	0.932	0.515	0.136	1
137	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_1(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.092	0.535	0.951	1565	555	0.18	0.172	15.119	1	1.00E-101	200.527	21.678	22.993	3.828	1
138	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(10).tif T1	nucleus	Otsu	Otsu	TRUE	0.12	0.478	0.972	1025	3371	0.078	0.33	20.043	1	4.82E-177	231.315	32.317	7.385	2.182	1
139	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(10).tif T1	combine	Otsu	Otsu	TRUE	0.118	1	0.978	1491	9438	0.184	0.251	2.251	0.999	7.27E-04	6.977	1.212	1.014	0.233	1
140	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(10).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-15_Out_Channel Alignment.czi_nucleo_2(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.077	0.453	0.967	978	976	0.132	0.219	12.097	1	6.52E-66	224.337	33.376	18.913	4.085	1
141	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_1(16).tif T1	nucleus	Otsu	Otsu	TRUE	0.058	0.722	0.976	1343	2014	0.116	0.194	9.807	1	4.86E-44	316.447	44.114	30.057	5.3	1
