 	Label	Area	Mean	IntDen	RawIntDen	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
20		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus without clusters	Otsu	Otsu	True	0.001	0.891	0.747	1244	1686	0.232	0.155	0.262	0.645	0.355	167.814	27.915	43.326	6.720	1
21		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus	Otsu	Otsu	True	0.028	0.894	0.825	1891	1639	0.283	0.167	2.456	1.000	2.570E-4	205.247	33.327	61.564	10.252	1
22		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	combine	Otsu	Otsu	True	-0.054	0.900	0.836	2541	1721	0.222	0.131	-3.898	1.763E-8	1.000	64.892	11.085	20.585	2.734	1
23		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_01_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus without clusters	Otsu	Otsu	True	0.081	0.890	0.820	1363	1557	0.338	0.244	7.639	1.000	1.674E-27	141.806	29.535	42.692	10.265	1
24		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	True	-0.128	0.886	0.721	2145	1423	0.178	0.065	-21.479	5.837E-203	1.000	353.374	32.635	113.643	7.118	1
25		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	True	-0.351	0.704	0.618	2975	1075	0.096	0.053	-21.295	1.512E-199	1.000	68.234	11.700	25.951	1.281	1
26		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_02_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	True	0.034	0.981	0.739	1204	1502	0.317	0.194	4.139	1.000	2.415E-9	285.140	52.145	88.400	16.870	1
27		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	True	-0.121	0.844	0.626	2850	1652	0.118	0.042	-21.441	2.877E-202	1.000	318.253	24.972	85.818	3.563	1
28		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	True	-0.280	0.709	0.577	3583	1357	0.085	0.054	-16.753	2.145E-124	1.000	70.789	12.115	22.166	1.162	1
29		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.002	0.946	0.637	1510	1779	0.228	0.135	-0.374	0.298	0.702	247.499	33.229	59.903	7.879	1
30		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	nucleus	Otsu	Otsu	True	-0.060	0.858	0.631	2257	1321	0.155	0.074	-11.798	8.443E-63	1.000	344.144	34.519	81.526	5.896	1
31		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	combine	Otsu	Otsu	True	-0.101	0.784	0.573	2822	1202	0.142	0.138	-7.033	1.319E-23	1.000	86.370	17.278	19.198	2.572	1
32		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_03_Out_Channel Alignment.czi_nucleo_1(10).tif T1	nucleus without clusters	Otsu	Otsu	True	0.002	0.920	0.646	1179	1415	0.209	0.169	-0.259	0.357	0.643	257.774	44.325	57.008	9.555	1
33		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus	Otsu	Otsu	True	-0.117	0.856	0.647	573	2164	0.120	0.052	-25.531	9.091E-286	1.000	458.711	43.452	129.663	6.263	1
34		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	combine	Otsu	Otsu	True	-0.205	0.751	0.606	772	1841	0.083	0.066	-16.375	6.111E-119	1.000	102.386	17.251	25.247	1.576	1
35		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.030	0.929	0.656	338	2331	0.210	0.129	-5.869	5.184E-17	1.000	356.487	53.320	96.595	12.026	1
36		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus	Otsu	Otsu	True	-0.111	0.737	0.701	3857	677	0.082	0.015	-15.291	5.246E-104	1.000	243.470	11.921	73.599	1.082	1
37		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	combine	Otsu	Otsu	True	-0.147	0.579	0.599	4549	561	0.087	0.061	-6.627	3.571E-21	1.000	48.506	7.118	10.363	0.635	1
38		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.040	0.853	0.716	1782	711	0.184	0.055	-5.744	2.262E-16	1.000	194.984	17.091	61.595	3.532	1
39		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus	Otsu	Otsu	True	-0.090	0.843	0.736	2102	613	0.145	0.082	-12.901	1.129E-74	1.000	217.685	25.822	57.908	4.199	1
40		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	combine	Otsu	Otsu	True	-0.150	0.760	0.715	2744	613	0.075	0.092	-7.972	8.826E-30	1.000	64.876	11.724	11.934	0.943	1
41		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus without clusters	Otsu	Otsu	True	0.025	0.923	0.743	1238	662	0.251	0.172	2.552	1.000	1.533E-4	152.809	26.364	40.452	6.559	1
42		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	nucleus	Otsu	Otsu	True	-0.104	0.747	0.687	2626	625	0.073	0.032	-16.610	2.602E-122	1.000	286.154	22.719	61.635	2.058	1
43		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	combine	Otsu	Otsu	True	-0.163	0.647	0.632	3389	498	0.062	0.048	-11.143	3.019E-56	1.000	67.268	10.461	13.431	0.719	1
44		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.044	0.818	0.698	1327	673	0.160	0.132	-6.535	1.211E-20	1.000	218.942	36.168	46.410	6.249	1
45		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus	Otsu	Otsu	True	-0.072	0.804	0.741	3147	1758	0.077	0.041	-9.666	7.628E-43	1.000	245.822	19.511	53.915	1.788	1
46		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	combine	Otsu	Otsu	True	-0.080	0.708	0.702	3847	1758	0.047	0.095	-4.651	2.387E-11	1.000	64.564	9.934	9.376	0.505	1
47		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.018	0.879	0.751	1693	1630	0.198	0.109	-2.539	1.646E-4	1.000	181.359	25.612	49.786	5.592	1
48		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	nucleus	Otsu	Otsu	True	-0.141	0.897	0.734	3885	1757	0.126	0.038	-24.546	2.449E-264	1.000	371.448	26.693	109.808	4.016	1
49		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	combine	Otsu	Otsu	True	-0.275	0.782	0.709	4924	1491	0.097	0.051	-20.731	3.051E-189	1.000	83.178	11.655	28.964	1.305	1
50		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.052	0.966	0.740	2137	1874	0.211	0.121	-7.596	3.220E-27	1.000	288.271	42.140	77.491	9.442	1
51		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	nucleus	Otsu	Otsu	True	-0.112	0.866	0.737	2629	1376	0.149	0.073	-13.727	3.012E-84	1.000	188.957	22.841	49.257	3.704	1
52		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	combine	Otsu	Otsu	True	-0.164	0.794	0.731	3346	1131	0.141	0.100	-10.211	1.452E-47	1.000	58.001	10.845	15.146	1.598	1
53		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.022	0.934	0.739	1488	1462	0.237	0.176	-1.707	0.008	0.992	130.956	25.394	34.248	6.077	1
54		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	True	-0.064	0.707	0.688	1739	1709	0.095	0.014	-9.143	1.524E-38	1.000	259.798	10.025	73.767	1.058	1
55		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	True	-0.154	0.526	0.560	2042	1413	0.086	0.054	-6.379	9.301E-20	1.000	35.505	5.233	8.420	0.445	1
56		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.008	0.793	0.702	941	1709	0.211	0.051	-2.084	0.002	0.998	224.293	13.649	67.005	3.242	1
57		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus	Otsu	Otsu	True	-0.073	0.875	0.725	1993	1430	0.139	0.051	-15.332	1.496E-104	1.000	451.780	33.742	121.674	5.420	1
58		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_0(14).tif T1	combine	Otsu	Otsu	True	-0.143	0.763	0.649	2562	1430	0.096	0.088	-12.288	6.027E-68	1.000	91.754	14.849	23.437	1.537	1
59		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_0(14).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_0(14).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.022	0.935	0.743	962	1322	0.274	0.189	-5.669	5.379E-16	1.000	360.569	73.525	111.962	21.192	1
60		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	nucleus	Otsu	Otsu	True	-0.043	0.909	0.710	1488	3431	0.013	0.099	-7.641	1.610E-27	1.000	277.650	33.994	5.049	0.487	1
61		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	combine	Otsu	Otsu	True	-0.048	0.889	0.717	1984	3622	0.011	0.114	-4.296	6.195E-10	1.000	91.624	13.254	1.342	0.157	1
62		0.000	0	0.000	0	C3-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.023	0.926	0.706	867	3378	0.017	0.208	-3.061	7.502E-6	1.000	186.775	40.245	3.688	0.752	1
63		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus	Otsu	Otsu	True	-0.060	0.928	0.969	3555	1199	0.134	0.039	-8.574	3.895E-34	1.000	211.368	15.106	68.149	2.305	1
64		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	combine	Otsu	Otsu	True	-0.159	0.881	0.954	4355	989	0.123	0.053	-8.175	3.263E-31	1.000	42.111	5.652	14.597	0.780	1
65		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.004	0.949	0.972	2488	1199	0.211	0.076	-0.769	0.138	0.862	169.631	16.481	57.333	3.826	1
66		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus	Otsu	Otsu	True	-0.093	0.964	0.973	1838	1295	0.192	0.055	-12.043	2.389E-65	1.000	254.412	22.950	94.681	4.862	1
67		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	combine	Otsu	Otsu	True	-0.091	0.948	0.961	2474	1199	0.190	0.110	-5.209	8.732E-14	1.000	53.750	8.646	17.204	1.756	1
68		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.066	0.973	0.975	1128	1511	0.181	0.101	-9.216	3.934E-39	1.000	201.313	29.113	60.280	5.801	1
69		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	nucleus	Otsu	Otsu	True	-0.019	0.975	0.984	1607	1152	0.194	0.086	-3.346	1.116E-6	1.000	339.283	38.368	91.706	7.940	1
70		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	combine	Otsu	Otsu	True	-0.140	0.987	0.979	2141	1203	0.196	0.093	-7.682	8.503E-28	1.000	56.720	9.447	18.837	1.952	1
71		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	nucleus without clusters	Otsu	Otsu	True	-0.001	0.971	0.986	1272	1056	0.220	0.119	-0.916	0.097	0.903	284.345	39.556	82.391	9.525	1
72		0.000	0	0.000	0	C3-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif T1	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif T1	nucleus	Otsu	Otsu	True	-0.096	0.943	0.982	1728	1043	0.117	0.028	-14.181	9.111E-90	1.000	239.996	15.044	75.653	2.030	1
