Slice,Count,Total Area,Average Size,%Area,Mean,IntDen,tto,data
dapi-pfak-gamma-5_Out-1.czinucleo_0,4,1.278,0.319,0.441,255,81.447,ct,2020_06_23
dapi-pfak-gamma-6_Out-1.czinucleo_0,5,1.644,0.329,0.63,255,83.82,ct,2020_06_23
dapi-pfak-gamma-7_Out-1.czinucleo_0,13,3.159,0.243,1.153,255,61.969,ct,2020_06_23
dapi-pfak-gamma-7_Out-1.czinucleo_1,3,0.472,0.157,0.201,255,40.116,ct,2020_06_23
dapi-pfak-gamma-8_Out-1.czinucleo_0,7,2.854,0.408,1.224,255,103.951,ct,2020_06_23
dapi-pfak-gamma-8_Out-1.czinucleo_1,4,0.872,0.218,0.223,255,55.602,ct,2020_06_23
dapi-pfak-gamma-9_Out-1.czinucleo_0,10,2.37,0.237,0.85,255,60.439,ct,2020_06_23
dapi-pfak-gamma-10_Out-1.czinucleo_0,74,24.756,0.335,5.291,255,85.307,dox,2020_06_23
dapi-pfak-gamma-11_Out-1.czinucleo_0,86,28.547,0.332,6.544,255,84.645,dox,2020_06_23
dapi-pfak-gamma-12_Out-1.czinucleo_0,46,13.193,0.287,4.712,255,73.135,dox,2020_06_23
dapi-pfak-gamma-12_Out-1.czinucleo_1,29,7.119,0.245,2.297,255,62.597,dox,2020_06_23
dapi-pfak-gamma-13_Out-1.czinucleo_0,53,18.54,0.35,7.66,255,89.204,dox,2020_06_23
dapi-pfak-gamma-13_Out-1.czinucleo_1,38,11.232,0.296,3.528,255,75.375,dox,2020_06_23
dapi-pfak-gamma-14_Out-1.czinucleo_0,127,45.102,0.355,7.447,255,90.559,dox,2020_06_23
dapi-pfak-gamma-15_Out-1.czinucleo_0,67,23.088,0.345,5.526,255,87.874,dox,2020_06_23
dapi-pfak-gamma-16_Out-1.czinucleo_0,51,17.254,0.338,5.16,255,86.272,dox,2020_06_23
dapi-pfak-gamma-16_Out-1.czinucleo_1,70,24.862,0.355,6.085,255,90.568,dox,2020_06_23
dapi-pfak-gamma-17_Out-1.czinucleo_0,93,36.001,0.387,8.649,255,98.712,dox,2020_06_23
dapi-pfak-gamma-18_Out-1.czinucleo_0,94,37.54,0.399,7.184,255,101.838,dox,2020_06_23
dapi-pfak-gamma-19_Out-1.czinucleo_0,56,15.693,0.28,4.246,255,71.459,dox,2020_06_23
dapi-pfak-gamma-1_Out-1.czinucleo_0,62,44.974,0.725,10.893,255,184.974,dox,2020_06_23
dapi-pfak-gamma-20_Out-1.czinucleo_0,105,48.384,0.461,8.189,255,117.504,dox,2020_06_23
dapi-pfak-gamma-2_Out-1.czinucleo_0,61,23.507,0.385,6.683,255,98.268,dox,2020_06_23
dapi-pfak-gamma-3_Out-1.czinucleo_0,98,47.248,0.482,9.382,255,122.94,dox,2020_06_23
dapi-pfak-gamma-4_Out-1.czinucleo_0,82,41.257,0.503,7.861,255,128.298,dox,2020_06_23
dapi-pfak-gamma-5_Out-1.czinucleo_0,88,34.619,0.393,6.963,255,100.317,dox,2020_06_23
dapi-pfak-gamma-6_Out-1.czinucleo_0,48,15.454,0.322,4.278,255,82.099,dox,2020_06_23
dapi-pfak-gamma-7_Out-1.czinucleo_0,44,11.494,0.261,3.419,255,66.615,dox,2020_06_23
dapi-pfak-gamma-8_Out-1.czinucleo_0,40,16.229,0.406,5.887,255,103.463,dox,2020_06_23
dapi-pfak-gamma-9_Out-1.czinucleo_0,52,15.006,0.289,3.346,255,73.587,dox,2020_06_23
dapi-pfak-gamma-9_Out-1.czinucleo_1,26,6.522,0.251,1.925,255,63.967,dox,2020_06_23
