 	Label	Area	Mean	Mode	Min	Max	IntDen	Median	RawIntDen	Group
11	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif:combine:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	20.102	817.722	0	0	6574	16437.673	397	15812286.000	4
12	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif:nucleus without clusters:c:4/4 z:18/24 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Ou	219.894	1358.965	0	0	10515	298828.336	1033	287459126.000	5
13	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif:nucleus:c:4/4 z:16/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	287.327	5534.136	0	0	41354	1590104.441	4197	1529607398.000	1
14	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif:combine:c:4/4 z:16/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	31.155	3728.645	0	0	32468	116167.188	2138	111747496.000	4
15	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif:nucleus without clusters:c:4/4 z:16/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	256.171	5753.718	0	0	41354	1473937.253	4493	1417859902.000	5
16	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif:nucleus:c:4/4 z:15/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	237.428	6338.549	0	0	47396	1504950.231	5145	1447692962.000	1
17	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif:combine:c:4/4 z:15/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	18.184	3628.662	0	0	26973	65982.932	2110	63472548.000	4
18	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif:nucleus without clusters:c:4/4 z:15/23 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Ou	219.244	6563.304	0	0	47396	1438967.300	5436	1384220414.000	5
19	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif:nucleus:c:4/4 z:13/18 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Ou	257.256	6512.005	0	0	42841	1675249.409	5238	1611512945.000	1
20	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif:combine:c:4/4 z:13/18 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Ou	19.940	3618.798	0	0	33639	72157.463	1576	69412163.000	4
21	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif:nucleus without clusters:c:4/4 z:13/18 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Ou	237.316	6755.097	0	0	42841	1603091.947	5552	1542100782.000	5
22	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif:nucleus:c:4/4 z:11/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	445.773	6240.480	0	0	41490	2781836.595	5466	2675998964.000	1
23	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif:combine:c:4/4 z:11/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	58.483	4651.133	0	0	32411	272012.427	3446	261663454.000	4
24	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif:nucleus without clusters:c:4/4 z:11/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	387.302	6480.272	0	0	41490	2509824.168	5759	2414335510.000	5
25	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif:nucleus:c:4/4 z:12/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	243.347	7531.286	0	0	54280	1832718.630	6302	1762991099.000	1
26	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif:combine:c:4/4 z:12/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	22.528	4195.271	0	0	38188	94511.490	2589	90915710.000	4
27	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_1(11).tif:nucleus without clusters:c:4/4 z:12/19 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Ou	220.819	7871.628	0	0	54280	1738207.140	6720	1672075389.000	5
28	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif:nucleus:c:4/4 z:12/20 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Ou	234.859	1766.990	0	0	13035	414994.401	1473	399205543.000	1
29	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif:combine:c:4/4 z:12/20 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Ou	8.071	753.323	0	0	9314	6080.126	240	5848802.000	4
30	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Out_Channel Alignment.czi_nucleo_2(11).tif:nucleus without clusters:c:4/4 z:12/20 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-07_Ou	226.788	1803.065	0	0	13035	408914.275	1521	393356741.000	5
31	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif:nucleus:c:4/4 z:14/21 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Ou	251.142	4999.729	0	0	31335	1255641.509	4460	1207869428.000	1
32	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif:combine:c:4/4 z:14/21 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Ou	19.624	5110.894	0	0	26930	100294.126	4674	96478340.000	4
33	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Out_Channel Alignment.czi_nucleo_0(13).tif:nucleus without clusters:c:4/4 z:14/21 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-08_Ou	231.518	4990.306	0	0	31335	1155347.383	4443	1111391088.000	5
34	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif:nucleus:c:4/4 z:18/21 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Ou	267.571	1194.596	0	0	9094	319639.135	989	307478159.000	1
35	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif:combine:c:4/4 z:18/21 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Ou	6.478	687.783	0	0	5552	4455.789	295	4286264.000	4
36	d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Out_Channel Alignment.czi_nucleo_0(16).tif:nucleus without clusters:c:4/4 z:18/21 - d2-dox-h2ax-647-dnapk-564-fak-488-dapi-16_Ou	261.099	1207.142	0	0	9094	315183.347	1006	303191895.000	5
