 	Image A	Image B	ROI	Auto Threshold A	Auto Threshold B	Using Stack Histogram	Pearson's Coefficient	M1	M2	Threshold A	Threshold B	Thresholded M1	Thresholded M2	Random Pearson Costes 2D	Random Pearson Costes 2D pValueCorrelated	Random Pearson Costes 2D pValueAntiCorrelated	Area tot	Area A	Area B	Area Overlap	Timepoint
27	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	combine	Otsu	Otsu	TRUE	-0.064	0.721	0.765	1637	2550	0.131	0.154	-3.099	5.86E-06	1	57.359	11.585	9.592	1.446	1
28	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_04_Out_Channel Alignment.czi_nucleo_0(12).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.003	0.556	0.951	2164	2747	0.071	0.304	-0.981	0.083	0.917	401.352	123.007	29.55	8.945	1
29	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus	Otsu	Otsu	TRUE	-0.042	0.407	0.838	677	8994	0.012	0.212	-6.29	2.91E-19	1	243.47	73.599	4.494	0.961	1
30	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	combine	Otsu	Otsu	TRUE	0.096	0.563	0.694	488	5874	0.165	0.316	4.691	1	1.63E-11	21.689	3.603	1.892	0.526	1
31	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_0(10).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.039	0.4	0.87	677	10458	0.008	0.204	-5.976	1.45E-17	1	221.781	71.529	2.845	0.588	1
32	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus	Otsu	Otsu	TRUE	-0.065	0.41	0.861	644	6306	0.034	0.168	-7.997	5.87E-30	1	217.685	57.94	11.252	2.001	1
33	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	combine	Otsu	Otsu	TRUE	-0.119	0.566	0.732	601	6379	0.088	0.069	-4.393	2.60E-10	1	33.379	5.058	5.693	0.449	1
34	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_1(13).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.004	0.393	0.945	680	6863	0.026	0.251	-0.731	0.151	0.849	184.306	48.788	4.911	1.318	1
35	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	nucleus	Otsu	Otsu	TRUE	-0.03	0.422	0.818	637	2727	0.042	0.2	-5.044	4.90E-13	1	286.154	65.137	13.517	2.577	1
36	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	combine	Otsu	Otsu	TRUE	0.024	0.491	0.719	459	2436	0.128	0.185	0.699	0.839	0.161	32.527	5.412	2.886	0.578	1
37	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_05_Out_Channel Alignment.czi_nucleo_2(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.029	0.418	0.836	637	2727	0.039	0.221	-4.631	2.89E-11	1	253.628	61.996	11.061	2.301	1
38	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus	Otsu	Otsu	TRUE	-0.076	0.359	0.796	1758	3728	0.013	0.075	-8.86	2.55E-36	1	245.822	53.915	8.489	0.662	1
39	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	combine	Otsu	Otsu	TRUE	-0.072	0.522	0.699	16574	4387	0.083	0.001	-2.768	4.53E-05	1	36.166	0.038	4.414	0.005	1
40	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.032	0.341	0.88	1630	3050	0.015	0.168	-4.258	8.60E-10	1	209.656	55.957	4.551	0.766	1
41	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	nucleus	Otsu	Otsu	TRUE	-0.084	0.5	0.918	1783	10546	0.07	0.213	-12.65	7.12E-72	1	371.448	104.336	35.927	7.703	1
42	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	combine	Otsu	Otsu	TRUE	-0.165	0.675	0.76	1364	12825	0.12	0.178	-6.906	7.80E-23	1	37.059	10.785	7.58	1.415	1
43	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_1(17).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.045	0.486	0.963	1783	9827	0.072	0.257	-7.716	5.06E-28	1	334.389	97.638	29.337	7.371	1
44	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	nucleus	Otsu	Otsu	TRUE	-0.016	0.386	0.886	1325	3117	0.033	0.255	-1.726	0.007	0.993	188.957	55.911	8.012	1.868	1
45	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	combine	Otsu	Otsu	TRUE	-0.06	0.534	0.817	1137	2722	0.133	0.247	-1.675	0.009	0.991	35.112	9.2	5.554	1.288	1
46	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_06_Out_Channel Alignment.czi_nucleo_2(19).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.034	0.361	0.939	1427	4564	0.015	0.292	3.499	1	3.73E-07	153.845	43.326	2.023	0.556	1
47	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	TRUE	-0.049	0.368	0.715	1709	3194	0.017	0.194	-7.731	4.00E-28	1	259.798	73.767	7.85	1.35	1
48	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	TRUE	-0.117	0.553	0.451	1488	3655	0.039	0.049	-3.312	1.41E-06	1	17.206	2.317	2.112	0.125	1
49	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_07_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.017	0.362	0.792	1709	3100	0.017	0.267	-2.93	1.71E-05	1	242.593	71.86	5.59	1.291	1
50	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	nucleus	Otsu	Otsu	TRUE	-0.035	0.558	0.916	2787	8174	0.114	0.019	-5.205	9.16E-14	1	277.65	6.229	32.401	0.641	1
51	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	combine	Otsu	Otsu	TRUE	-0.065	0.597	0.807	3745	9490	0.215	0.014	-3.268	1.90E-06	1	38.407	0.465	7.239	0.089	1
52	C2-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	C1-d1-doxo-dapi-405-fak-488-dnapk-546-h2ax-647_08_Out_Channel Alignment.czi_nucleo_2(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.017	0.552	0.947	2675	7827	0.105	0.021	-3.362	9.98E-07	1	239.243	5.925	25.452	0.569	1
53	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus	Otsu	Otsu	TRUE	0.007	0.455	0.921	1199	3707	0.031	0.302	0.246	0.636	0.364	211.368	68.149	5.908	1.657	1
54	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	combine	Otsu	Otsu	TRUE	-0.082	0.623	0.875	859	2578	0.06	0.245	-3.159	3.95E-06	1	16.946	5.639	1.46	0.347	1
55	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-01_Out_Channel Alignment.czi_nucleo_1(14).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.019	0.445	0.929	1199	3707	0.031	0.325	1.857	0.996	0.004	194.422	64.982	5.107	1.546	1
56	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus	Otsu	Otsu	TRUE	-0.066	0.418	0.955	1257	4780	0.01	0.226	-7.76	2.55E-28	1	254.412	91.766	4.819	1.086	1
57	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	combine	Otsu	Otsu	TRUE	-0.029	0.635	0.947	1127	6843	0.027	0.484	-0.825	0.122	0.878	23.293	6.432	0.373	0.192	1
58	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_0(16).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.062	0.402	0.957	1257	4651	0.009	0.204	-8.277	6.01E-32	1	231.119	86.299	4.331	0.911	1
59	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	nucleus	Otsu	Otsu	TRUE	0.075	0.462	0.989	1152	3301	0.016	0.584	11.284	1	1.25E-57	339.283	91.706	2.727	1.498	1
60	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	combine	Otsu	Otsu	TRUE	-0.008	0.595	0.989	1136	1677	0.055	0.323	-0.341	0.315	0.685	29.464	9.161	1.586	0.517	1
61	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_1(18).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	0.08	0.448	0.989	1152	3495	0.015	0.63	11.039	1	3.03E-55	309.819	82.807	2.151	1.287	1
62	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif T1	nucleus	Otsu	Otsu	TRUE	-0.044	0.437	0.951	1039	1202	0.01	0.255	-6.09	3.59E-18	1	239.996	83.126	3.278	0.853	1
63	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif T1	combine	Otsu	Otsu	TRUE	-0.07	0.53	0.895	773	2501	0.001	0.089	-2.662	8.33E-05	1	26.495	8.042	0.105	0.012	1
64	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-02_Out_Channel Alignment.czi_nucleo_2(18).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.033	0.43	0.962	1039	1227	0.01	0.296	-4.16	2.02E-09	1	213.501	78.04	2.663	0.805	1
65	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus	Otsu	Otsu	TRUE	-0.05	0.516	0.962	1919	445	0.031	0.28	-8.01	4.77E-30	1	287.327	105.078	11.908	3.188	1
66	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif T1	combine	Otsu	Otsu	TRUE	-0.029	0.573	0.957	1664	499	0.047	0.38	-0.794	0.131	0.869	41.236	16.347	2.365	0.819	1
67	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_0(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.05	0.508	0.964	1919	420	0.03	0.279	-8.271	6.58E-32	1	246.091	91.973	9.989	2.677	1
68	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus	Otsu	Otsu	TRUE	-0.06	0.451	0.937	1667	934	0.012	0.207	-7.16	2.12E-24	1	237.428	84.775	5.26	0.929	1
69	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif T1	combine	Otsu	Otsu	TRUE	-0.071	0.573	0.892	1482	920	0.042	0.254	-1.829	0.005	0.995	24.304	8.907	1.375	0.299	1
70	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-03_Out_Channel Alignment.czi_nucleo_1(15).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.055	0.439	0.948	1667	999	0.009	0.208	-7.189	1.40E-24	1	213.125	77.239	3.498	0.615	1
71	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus	Otsu	Otsu	TRUE	-0.052	0.562	0.936	3802	4226	0.021	0.02	-7.67	1.03E-27	1	257.256	4.004	3.751	0.069	1
72	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif T1	combine	Otsu	Otsu	TRUE	-0.135	0.717	0.844	3850	5431	0.086	0.014	-5.282	4.03E-14	1	26.589	0.343	1.232	0.016	1
73	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-05_Out_Channel Alignment.czi_nucleo_0(11).tif T1	nucleus without clusters	Otsu	Otsu	TRUE	-0.027	0.546	0.969	3802	2641	0.032	0.023	-2.592	1.24E-04	1	230.667	3.656	5.503	0.114	1
74	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif T1	nucleus	Otsu	Otsu	TRUE	-0.065	0.772	0.995	1718	8533	0.166	0.288	-13.305	2.82E-79	1	445.773	149.225	84.846	25.006	1
75	C2-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif T1	C1-d2-dox-h2ax-647-dnapk-564-fak-488-dapi-06_Out_Channel Alignment.czi_nucleo_0(9).tif T1	combine	Otsu	Otsu	TRUE	-0.208	0.81	0.982	1324	10167	0.196	0.376	-13.256	1.04E-78	1	76.398	38.29	19.723	7.589	1
